Indice,Property Class,Tax Year,Town Code,Type of Residence,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Central Air,Fireplaces,Attic Type,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Site Desireability,Porch,Building Square Feet,Repair Condition,Number of Commercial Units,Sale Price,Multi Property Indicator,Full Baths,Age,Use,OHare Noise,Floodplain,Near Major Road,Location Factor,Garage indicator,Town and Neighborhood
1399,299,2018,29,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,170000.0,0,1.0,24,1,0.0,1.0,1.0,0.735481580065181,1.0,2943
43877,203,2019,22,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3,114.18,2.0,0.0,325000.0,0,1.0,65,1,0.0,0.0,0.0,0.749465840323403,1.0,2230
48143,204,2019,20,5.0,2.0,1.0,7.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,3,175.31,2.0,0.0,150000.0,0,2.0,91,1,0.0,0.0,0.0,1.03663520001504,1.0,2080
10536,278,2018,25,2.0,2.0,4.0,8.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,3,341.6,2.0,0.0,725000.0,0,2.0,33,1,0.0,0.0,1.0,1.074558156276227,1.0,25210
53979,299,2019,73,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,150000.0,0,1.0,104,1,0.0,0.0,0.0,1.07787935580302,1.0,7350
28248,203,2018,24,1.0,2.0,1.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,112.04,2.0,0.0,282500.0,0,1.0,60,1,0.0,0.0,1.0,1.247283102706197,1.0,2431
20809,299,2018,35,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,187000.0,0,1.0,33,1,0.0,0.0,1.0,0.886024871492068,1.0,3590
30508,295,2018,17,2.0,3.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3,151.62,2.0,0.0,499000.0,0,1.0,44,1,0.0,0.0,0.0,1.58656028847252,1.0,1742
30789,206,2018,17,2.0,1.0,1.0,11.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3,260.13,2.0,0.0,855000.0,0,3.0,138,1,0.0,0.0,0.0,1.158961609768144,0.0,1743
33378,204,2018,20,5.0,1.0,1.0,8.0,3.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3,179.95,2.0,0.0,180000.0,0,2.0,64,1,0.0,0.0,0.0,0.368760471216088,1.0,2050
36625,299,2019,38,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,242500.0,0,1.0,28,1,0.0,0.0,1.0,0.748887962524908,1.0,3841
22500,299,2018,16,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,96000.0,0,1.0,48,1,0.0,0.0,0.0,0.649751676557519,1.0,1651
15100,299,2018,18,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,163000.0,0,1.0,19,1,0.0,0.0,1.0,0.491264746820116,1.0,1810
30135,299,2018,24,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,222500.0,0,1.0,19,1,0.0,0.0,1.0,1.01464951603294,1.0,2413
9638,202,2018,25,1.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,87.14,2.0,0.0,249000.0,0,1.0,64,1,0.0,0.0,1.0,1.090757420481354,1.0,2510
9429,278,2018,25,2.0,3.0,1.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,3,245.17,2.0,0.0,543000.0,0,2.0,48,1,0.0,0.0,0.0,2.179265736415352,1.0,2552
25518,202,2018,22,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,3,76.09,2.0,0.0,205000.0,0,1.0,67,1,0.0,0.0,0.0,0.660868630983257,0.0,2223
27706,205,2018,17,2.0,2.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,122.63,2.0,0.0,259040.0,0,2.0,71,1,0.0,0.0,0.0,1.470602243623376,1.0,1760
41789,299,2019,35,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,187450.0,0,1.0,26,1,0.0,0.0,0.0,0.755015288086143,1.0,3572
54367,211,2019,73,2.0,1.0,6.0,9.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1,197.79,2.0,0.0,690000.0,0,3.0,110,2,0.0,0.0,0.0,2.33670859479604,1.0,7370
21320,234,2018,16,4.0,3.0,1.0,6.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3,131.36,2.0,0.0,279000.0,0,2.0,51,1,0.0,0.0,0.0,0.961415905004246,1.0,1610
43065,204,2019,16,1.0,1.0,1.0,7.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,3,218.79,2.0,0.0,309000.0,0,2.0,53,1,0.0,0.0,1.0,0.507342628443902,1.0,1661
9141,203,2018,38,1.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,111.86,2.0,0.0,394000.0,0,1.0,53,1,0.0,0.0,0.0,0.942322000781921,1.0,3880
20750,295,2018,35,2.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,105.44,2.0,0.0,228500.0,0,2.0,43,1,0.0,0.0,0.0,0.907848416008294,1.0,3532
45703,295,2019,17,2.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3,181.25,2.0,0.0,530000.0,0,2.0,21,1,0.0,0.0,0.0,1.29079975498275,1.0,17110
33340,202,2018,20,1.0,1.0,1.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1,65.03,2.0,0.0,202500.0,0,1.0,68,1,1.0,0.0,1.0,0.287450223572787,1.0,2050
16548,203,2018,18,1.0,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,118.92,2.0,0.0,250000.0,0,1.0,56,1,0.0,0.0,0.0,0.767867607477898,1.0,1870
52346,211,2019,71,2.0,1.0,1.0,11.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,1,188.78,2.0,0.0,305000.0,0,2.0,120,2,0.0,0.0,0.0,1.45010758145882,1.0,71180
2641,234,2018,29,4.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,115.76,2.0,0.0,333000.0,0,1.0,39,1,0.0,0.0,0.0,1.175862007213239,1.0,2933
4326,278,2018,38,2.0,3.0,1.0,8.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,197.6,2.0,0.0,390000.0,0,2.0,33,1,0.0,0.0,0.0,1.127435220631229,1.0,38100
4891,203,2018,38,1.0,3.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,3,95.13,2.0,0.0,205000.0,0,1.0,50,1,0.0,0.0,1.0,0.658205783261692,1.0,3812
23595,299,2018,22,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,135000.0,0,1.0,37,1,0.0,0.0,1.0,1.111469761223316,1.0,2282
23487,203,2018,22,1.0,3.0,1.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1,135.92,2.0,0.0,318000.0,0,2.0,61,1,0.0,0.0,0.0,0.86175421304015,1.0,2231
48911,234,2019,71,4.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,3,133.69,2.0,0.0,580000.0,0,1.0,61,1,0.0,0.0,0.0,1.05434905766733,1.0,7122
28084,295,2018,24,1.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3,98.01,2.0,0.0,210000.0,0,1.0,58,1,0.0,0.0,1.0,1.277684964623696,0.0,2431
24141,203,2018,22,1.0,2.0,1.0,6.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,3,167.13,2.0,0.0,410000.0,0,2.0,46,1,0.0,0.0,0.0,1.152159052095052,1.0,2270
9174,203,2018,38,5.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3,114.27,2.0,0.0,270000.0,0,1.0,66,1,0.0,0.0,0.0,0.931030821519931,1.0,3880
47779,234,2019,20,4.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3,101.82,2.0,0.0,288000.0,0,1.0,57,1,0.0,0.0,0.0,0.216503909710357,1.0,2030
37365,299,2019,38,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,270000.0,0,1.0,16,1,0.0,0.0,0.0,1.1207299243536,1.0,3872
22819,203,2018,16,1.0,3.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3,110.18,2.0,0.0,230000.0,0,1.0,54,1,0.0,1.0,0.0,0.568935542917312,1.0,1661
48122,205,2019,20,2.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,3,159.42,2.0,0.0,295500.0,0,2.0,69,1,0.0,0.0,0.0,1.16881521632828,1.0,2080
32974,205,2018,20,2.0,3.0,1.0,8.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3,194.35,2.0,0.0,190000.0,0,2.0,91,1,0.0,0.0,1.0,0.75713429462679,1.0,2081
2921,208,2018,29,2.0,3.0,1.0,8.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,3,401.43,2.0,0.0,570000.0,0,4.0,26,1,0.0,0.0,0.0,0.86993321880666,1.0,2983
39951,299,2019,18,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,220000.0,0,1.0,29,1,0.0,0.0,1.0,0.612918228252729,1.0,1810
4034,203,2018,29,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1,98.01,2.0,0.0,193000.0,0,1.0,60,1,0.0,0.0,0.0,0.967440751608905,1.0,29100
1275,278,2018,29,2.0,2.0,1.0,9.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3,273.97,2.0,0.0,560000.0,0,2.0,16,1,0.0,0.0,0.0,0.823839258801003,1.0,2922
38387,278,2019,25,2.0,3.0,1.0,9.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,238.58,2.0,0.0,652000.0,0,2.0,59,1,0.0,1.0,0.0,2.80316390381333,1.0,2590
2807,278,2018,29,2.0,1.0,1.0,9.0,5.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,3,207.82,2.0,0.0,410000.0,0,2.0,39,1,0.0,0.0,0.0,1.036485595850634,1.0,2933
40970,295,2019,35,1.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3,111.67,2.0,0.0,164500.0,0,1.0,41,1,0.0,0.0,0.0,0.882322174473528,1.0,35104
11995,206,2018,23,2.0,1.0,6.0,9.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,3,306.12,2.0,0.0,890000.0,0,2.0,94,1,0.0,0.0,0.0,3.595885672554729,1.0,2321
27717,205,2018,17,2.0,4.0,1.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,3,132.39,2.0,0.0,230000.0,0,2.0,93,1,0.0,0.0,0.0,1.497372604400511,0.0,1760
51410,299,2019,77,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,220000.0,0,1.0,90,1,0.0,0.0,1.0,1.79754618397288,1.0,77151
22642,203,2018,16,1.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3,109.16,2.0,0.0,160000.0,0,1.0,62,1,0.0,0.0,0.0,0.392427420751493,1.0,1670
27699,203,2018,17,1.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,136.57,2.0,0.0,196000.0,0,2.0,52,1,0.0,0.0,0.0,1.457684690767217,0.0,1760
23822,234,2018,22,4.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,3,159.33,2.0,0.0,475000.0,0,2.0,59,1,0.0,0.0,0.0,1.176157879655161,1.0,2285
24637,295,2018,22,2.0,3.0,1.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,3,165.09,2.0,0.0,278000.0,0,1.0,53,1,0.0,0.0,0.0,1.001755295157575,0.0,2250
